,block,trialNum,flankers,rt,error
0,practice,1.0,congruent,0.619870001001,False
3,practice,2.0,incongruent,0.961761564002,False
6,practice,3.0,incongruent,0.541356335001,False
9,practice,4.0,congruent,0.705006105001,False
12,practice,5.0,congruent,0.35121948900100003,False
15,practice,6.0,congruent,0.417643074001,False
18,practice,7.0,incongruent,0.567911075001,False
21,practice,8.0,congruent,0.533999949001,False
24,practice,9.0,congruent,0.442801428002,False
27,practice,10.0,incongruent,0.5723743020009999,False
30,practice,11.0,incongruent,0.634894817002,False
33,practice,12.0,congruent,0.485113078001,False
36,practice,13.0,incongruent,0.627431567002,False
39,practice,14.0,congruent,0.481780846001,False
42,practice,15.0,congruent,0.495638760001,False
45,practice,16.0,congruent,0.456383180999,False
48,practice,17.0,incongruent,0.596939080002,False
51,practice,18.0,congruent,0.450667360001,False
54,practice,19.0,congruent,0.44325049000100003,False
57,practice,20.0,incongruent,0.531661735002,False
60,practice,21.0,incongruent,0.49597595899999997,False
63,practice,22.0,congruent,0.47154744699900003,False
66,practice,23.0,congruent,0.47228369,False
69,practice,24.0,incongruent,0.5993647900010001,False
72,practice,25.0,congruent,0.42641000799999995,False
75,practice,26.0,incongruent,0.545081748001,False
78,practice,27.0,congruent,0.42515724299999996,False
81,practice,28.0,incongruent,0.49776179200099996,False
84,practice,29.0,incongruent,0.592686833001,False
87,practice,30.0,congruent,0.38661645,False
90,practice,31.0,congruent,0.34336545799999996,False
93,practice,32.0,incongruent,0.385817981001,False
96,practice,33.0,incongruent,0.516646710001,False
99,practice,34.0,incongruent,0.476179075,False
102,practice,35.0,congruent,0.379285303001,False
105,practice,36.0,incongruent,0.367402573002,True
108,practice,37.0,incongruent,0.634117778001,False
111,practice,38.0,incongruent,0.564025584001,False
114,practice,39.0,incongruent,0.533696675002,False
117,practice,40.0,incongruent,0.6036932410010001,False
120,practice,41.0,congruent,0.388970364002,False
123,practice,42.0,congruent,0.6558931149989999,False
126,practice,43.0,incongruent,0.36185984800099996,False
129,practice,44.0,congruent,0.381909253001,False
132,practice,45.0,congruent,0.426978760001,False
135,practice,46.0,incongruent,0.35839415799999996,False
138,practice,47.0,congruent,0.473429949001,False
141,practice,48.0,incongruent,0.359908398001,True
144,1,1.0,congruent,0.467560684001,False
147,1,2.0,congruent,0.40198511500100004,False
150,1,3.0,incongruent,0.35147587399999997,True
153,1,4.0,congruent,0.407482503002,False
156,1,5.0,congruent,0.353483024001,False
159,1,6.0,incongruent,0.517466180001,False
162,1,7.0,incongruent,0.345625124002,False
165,1,8.0,incongruent,0.47533190500100003,False
168,1,9.0,congruent,0.38386795,False
171,1,10.0,congruent,0.554392793001,False
174,1,11.0,congruent,0.437275923001,False
177,1,12.0,incongruent,0.38450471200099995,False
180,1,13.0,congruent,0.36137700600199996,False
183,1,14.0,incongruent,0.362711108002,False
186,1,15.0,incongruent,0.415286727,False
189,1,16.0,congruent,0.463787592002,False
192,1,17.0,incongruent,0.415285051,True
195,1,18.0,incongruent,0.51012723,False
198,1,19.0,congruent,0.380116239001,False
201,1,20.0,incongruent,0.472634821001,False
204,1,21.0,incongruent,0.520282286001,False
207,1,22.0,incongruent,0.542842897999,False
210,1,23.0,congruent,0.500908489999,False
213,1,24.0,incongruent,0.529584729002,False
216,1,25.0,congruent,0.7449725400020001,False
219,1,26.0,congruent,0.375491629002,False
222,1,27.0,incongruent,0.47811565899999997,False
225,1,28.0,incongruent,0.470607084002,False
228,1,29.0,incongruent,0.463664712002,False
231,1,30.0,incongruent,0.455190582001,False
234,1,31.0,congruent,0.427875089999,False
237,1,32.0,congruent,0.595646422002,False
240,1,33.0,incongruent,0.405288095002,False
243,1,34.0,incongruent,0.489340765,False
246,1,35.0,congruent,0.439448205001,False
249,1,36.0,congruent,0.475649238002,False
252,1,37.0,congruent,0.489516457001,False
255,1,38.0,incongruent,0.552861387001,False
258,1,39.0,incongruent,0.369293214,False
261,1,40.0,incongruent,0.436331993002,False
264,1,41.0,incongruent,0.509018853001,True
267,1,42.0,congruent,0.462550685999,False
270,1,43.0,congruent,0.419651978,False
273,1,44.0,congruent,0.36313845,False
276,1,45.0,congruent,0.450815802002,False
279,1,46.0,incongruent,0.585853586999,False
282,1,47.0,congruent,0.393851888002,False
285,1,48.0,congruent,0.402789233001,False
288,2,1.0,congruent,0.529345568002,False
291,2,2.0,congruent,0.469322264002,False
294,2,3.0,congruent,0.42177648900200004,False
297,2,4.0,incongruent,0.424933432001,False
300,2,5.0,incongruent,0.484086516,False
303,2,6.0,congruent,0.388362330001,False
306,2,7.0,congruent,0.391303675,False
309,2,8.0,incongruent,0.448256779002,True
312,2,9.0,incongruent,0.55144134,False
315,2,10.0,incongruent,0.415644954002,False
318,2,11.0,incongruent,0.489770233002,False
321,2,12.0,congruent,0.38583551899999996,False
324,2,13.0,incongruent,0.41198786200000004,False
327,2,14.0,incongruent,0.8688533690019999,False
330,2,15.0,congruent,0.382299587001,True
333,2,16.0,incongruent,0.527751377002,False
336,2,17.0,congruent,0.44298804700000005,False
339,2,18.0,congruent,0.44580177000200005,False
342,2,19.0,incongruent,0.487582512002,False
345,2,20.0,incongruent,0.41708060700099997,False
348,2,21.0,incongruent,0.473499109001,False
351,2,22.0,congruent,0.520963285,False
354,2,23.0,incongruent,0.41761462000200006,False
357,2,24.0,congruent,0.366928052001,False
360,2,25.0,congruent,0.383715234002,False
363,2,26.0,incongruent,0.380168915,False
366,2,27.0,congruent,0.377671403001,False
369,2,28.0,congruent,0.394045123001,False
372,2,29.0,congruent,0.420379456002,False
375,2,30.0,incongruent,0.568993664001,True
378,2,31.0,congruent,0.47796159100100005,False
381,2,32.0,congruent,0.446485639002,False
384,2,33.0,incongruent,0.491659643001,False
387,2,34.0,congruent,0.406940364001,False
390,2,35.0,congruent,0.31323941000100003,False
393,2,36.0,incongruent,0.415878722002,False
396,2,37.0,incongruent,0.437253629001,False
399,2,38.0,congruent,0.33874302700099995,False
402,2,39.0,incongruent,0.524230491001,False
405,2,40.0,congruent,0.44432688500100004,False
408,2,41.0,incongruent,0.546141889001,False
411,2,42.0,congruent,0.42540562299999995,False
414,2,43.0,incongruent,0.483677760001,False
417,2,44.0,congruent,0.442069007,False
420,2,45.0,congruent,0.779156239001,False
423,2,46.0,incongruent,0.433999893001,False
426,2,47.0,incongruent,0.412186294001,True
429,2,48.0,incongruent,0.38424552000100004,False
432,3,1.0,incongruent,0.6295665420000001,False
435,3,2.0,congruent,0.42658854600100005,False
438,3,3.0,incongruent,0.331122871001,False
441,3,4.0,congruent,0.394690818002,False
444,3,5.0,incongruent,0.511231,False
447,3,6.0,incongruent,0.412203780999,False
450,3,7.0,incongruent,0.425314124001,False
453,3,8.0,congruent,0.46906777500200003,False
456,3,9.0,congruent,0.41098475199900003,False
459,3,10.0,incongruent,0.434672148,False
462,3,11.0,congruent,0.45600130000100003,False
465,3,12.0,incongruent,0.49240068100199996,False
468,3,13.0,congruent,0.35076733299999996,False
471,3,14.0,congruent,0.437488156002,True
474,3,15.0,incongruent,0.484784714001,False
477,3,16.0,incongruent,0.5534919760010001,False
480,3,17.0,incongruent,0.515616314002,False
483,3,18.0,congruent,0.447733699002,False
486,3,19.0,incongruent,0.430313458,False
489,3,20.0,congruent,0.41775238500100004,False
492,3,21.0,incongruent,0.388133346001,True
495,3,22.0,congruent,0.38470520200099995,False
498,3,23.0,congruent,0.47159760000100004,False
501,3,24.0,congruent,0.379799849001,False
504,3,25.0,incongruent,0.588773228001,False
507,3,26.0,incongruent,0.889845861002,False
510,3,27.0,incongruent,0.392351346001,False
513,3,28.0,congruent,0.386179355002,False
516,3,29.0,congruent,0.350565326,False
519,3,30.0,incongruent,0.464821975,False
522,3,31.0,congruent,0.659339204001,False
525,3,32.0,congruent,0.48207333399999996,False
528,3,33.0,incongruent,0.526151162001,False
531,3,34.0,congruent,0.615627191,False
