,block,trialNum,flankers,rt,error
0,practice,1,incongruent,0.732995375001,False
3,practice,2,congruent,,
6,practice,3,congruent,0.372420260013,False
9,practice,4,incongruent,0.505739319007,False
12,practice,5,congruent,0.33622328001400004,False
15,practice,6,congruent,0.480569312,False
18,practice,7,incongruent,0.425007286001,True
21,practice,8,incongruent,0.453300894005,False
24,practice,9,incongruent,0.46196633900399997,True
27,practice,10,congruent,0.336383328002,False
30,practice,11,incongruent,0.528498167012,False
33,practice,12,incongruent,0.39510862001,False
36,practice,13,incongruent,0.349820050003,True
39,practice,14,incongruent,0.347255804008,False
42,practice,15,congruent,0.531578208,False
45,practice,16,congruent,0.394842696012,False
48,practice,17,congruent,0.319646634001,False
51,practice,18,incongruent,0.525529966006,False
54,practice,19,congruent,0.387605536016,False
57,practice,20,incongruent,0.550231800007,False
60,practice,21,congruent,0.344373196,False
63,practice,22,congruent,0.33439129500799997,True
66,practice,23,incongruent,0.524336973001,False
69,practice,24,congruent,0.41326433001100005,False
72,practice,25,congruent,0.378336843001,False
75,practice,26,incongruent,0.435183188005,False
78,practice,27,incongruent,0.295055091003,False
81,practice,28,congruent,0.346939864001,True
84,practice,29,congruent,0.606775081003,False
87,practice,30,incongruent,0.331494528014,True
90,practice,31,congruent,0.532130317006,False
93,practice,32,incongruent,0.412647041012,True
96,practice,33,congruent,0.437569428002,False
99,practice,34,incongruent,0.613919042997,False
102,practice,35,incongruent,0.551765768003,False
105,practice,36,incongruent,0.532095988019,False
108,practice,37,congruent,0.40559130800800003,False
111,practice,38,incongruent,0.429335916007,False
114,practice,39,incongruent,0.5448161100069999,False
117,practice,40,incongruent,0.446866291008,False
120,practice,41,incongruent,0.49264435301299997,False
123,practice,42,congruent,0.419180398007,False
126,practice,43,incongruent,0.511228524992,False
129,practice,44,congruent,0.6248171580080001,False
132,practice,45,congruent,0.583731037012,False
135,practice,46,congruent,0.459866115998,False
138,practice,47,congruent,0.589884520014,False
141,practice,48,congruent,0.454062942008,False
144,1,1,congruent,0.595127338005,False
147,1,2,congruent,0.428790831007,False
150,1,3,incongruent,0.505349333005,False
153,1,4,incongruent,0.489405888002,False
156,1,5,incongruent,0.39232268600599995,False
159,1,6,congruent,0.41157425701399997,False
162,1,7,incongruent,0.5017659630100001,False
165,1,8,congruent,0.530086513012,False
168,1,9,congruent,0.44874877799900004,False
171,1,10,incongruent,0.5090837410100001,False
174,1,11,congruent,0.572879522006,False
177,1,12,congruent,0.42010766800399996,False
180,1,13,incongruent,0.490260835999,False
183,1,14,incongruent,0.509779797998,False
186,1,15,incongruent,0.45445893700499995,False
189,1,16,incongruent,0.5956101630139999,False
192,1,17,incongruent,0.478944207003,False
195,1,18,incongruent,0.405777101012,False
198,1,19,congruent,0.36321419000200006,False
201,1,20,congruent,0.49714767899400003,False
204,1,21,congruent,0.501486338995,False
207,1,22,incongruent,0.493273193017,False
210,1,23,incongruent,0.584786593012,False
213,1,24,incongruent,0.49500299300399997,False
216,1,25,incongruent,0.44270830301700004,False
219,1,26,incongruent,0.592010347013,False
222,1,27,congruent,0.534231081998,False
225,1,28,congruent,0.32849394501,False
228,1,29,incongruent,0.493016632012,False
231,1,30,incongruent,0.497167901005,False
234,1,31,incongruent,0.5157884460059999,False
237,1,32,congruent,0.422739007001,False
240,1,33,congruent,0.414331872016,False
243,1,34,incongruent,0.534393684007,False
246,1,35,congruent,0.501457067003,False
249,1,36,congruent,0.559428518012,False
252,1,37,congruent,0.694162897009,False
255,1,38,congruent,0.45406483199600006,False
258,1,39,congruent,0.43587305801299997,False
261,1,40,congruent,0.31296543699900004,False
264,1,41,congruent,0.390266049013,False
267,1,42,incongruent,0.511712384003,False
270,1,43,congruent,0.44265572501199996,False
273,1,44,congruent,0.414793703007,False
276,1,45,incongruent,0.545617949014,False
279,1,46,incongruent,0.533590831998,False
282,1,47,incongruent,0.37163922800399996,True
285,1,48,congruent,0.552347121018,False
288,2,1,congruent,0.596292090006,False
291,2,2,congruent,0.44916317801100003,False
294,2,3,congruent,0.542638567,False
297,2,4,incongruent,0.8413573209980001,False
300,2,5,congruent,0.625708467007,False
303,2,6,congruent,0.49145901501500006,False
306,2,7,incongruent,0.512818951,False
309,2,8,congruent,0.393785077002,False
312,2,9,congruent,0.46616082100100004,False
315,2,10,incongruent,0.5460614950129999,False
318,2,11,incongruent,0.49724849801000004,False
321,2,12,incongruent,0.584856221001,False
324,2,13,incongruent,0.757592559006,False
327,2,14,congruent,0.46260224301700004,False
330,2,15,congruent,0.47001679700000004,False
333,2,16,incongruent,0.516324632015,False
336,2,17,incongruent,0.5142716890110001,False
339,2,18,incongruent,0.650516692011,False
342,2,19,congruent,0.491183364007,False
345,2,20,congruent,0.47925327099799997,False
348,2,21,congruent,0.963401360001,False
351,2,22,congruent,0.512614264007,False
354,2,23,incongruent,0.43838488099600004,False
357,2,24,incongruent,0.602744817006,False
360,2,25,incongruent,0.567878881004,False
363,2,26,congruent,0.571002732002,False
366,2,27,incongruent,0.659309431008,False
369,2,28,congruent,0.5302410510050001,False
372,2,29,incongruent,0.5751479250029999,False
375,2,30,congruent,0.402529622996,False
378,2,31,congruent,0.406065133997,False
381,2,32,congruent,0.514271275009,False
384,2,33,congruent,0.422572120005,False
387,2,34,incongruent,0.49256139301000007,False
390,2,35,incongruent,0.480835534006,False
393,2,36,incongruent,0.524425062002,False
396,2,37,congruent,0.60270357001,False
399,2,38,incongruent,0.45919734700900006,False
402,2,39,congruent,0.501440939013,False
405,2,40,incongruent,0.514409505005,False
408,2,41,incongruent,0.549678940995,False
411,2,42,incongruent,0.570485204007,False
414,2,43,congruent,0.48734985501500006,False
417,2,44,congruent,0.376154317011,False
420,2,45,incongruent,0.482340229006,False
423,2,46,congruent,0.620860210009,False
426,2,47,incongruent,0.450869505017,False
429,2,48,incongruent,0.41812835099699996,False
432,3,1,incongruent,0.501480729014,False
435,3,2,congruent,0.394008050003,False
438,3,3,incongruent,0.494935014009,False
441,3,4,incongruent,0.453766627004,False
444,3,5,congruent,0.529293604006,False
447,3,6,congruent,0.47580646601300003,False
450,3,7,congruent,0.436249380014,False
453,3,8,congruent,0.371283015003,False
456,3,9,incongruent,0.508176060001,False
459,3,10,incongruent,0.517461575,False
462,3,11,congruent,0.446783799009,False
465,3,12,incongruent,0.47269342500699996,False
468,3,13,congruent,0.465070385006,False
471,3,14,incongruent,0.48085522301000005,False
474,3,15,incongruent,0.485475969006,False
477,3,16,incongruent,0.460343359009,False
480,3,17,congruent,0.503171192002,False
483,3,18,congruent,0.386641002013,False
486,3,19,incongruent,0.5705799320130001,False
489,3,20,congruent,0.330954624005,False
492,3,21,congruent,0.355219441,False
495,3,22,incongruent,0.402618691995,False
498,3,23,congruent,0.402182110018,False
501,3,24,congruent,0.634401882999,False
504,3,25,incongruent,0.561927529998,False
507,3,26,congruent,0.432747465005,False
510,3,27,incongruent,0.496606333996,False
513,3,28,congruent,0.346055112997,True
516,3,29,incongruent,0.43399520200900005,False
519,3,30,incongruent,0.436085777008,False
522,3,31,incongruent,0.35177002901,True
525,3,32,incongruent,0.412829200999,False
528,3,33,incongruent,0.5869416700150001,False
531,3,34,incongruent,0.542571156009,False
534,3,35,congruent,0.38153184599699996,False
537,3,36,incongruent,0.48574650001,False
540,3,37,congruent,0.320028996008,False
543,3,38,congruent,0.471926180006,False
546,3,39,congruent,0.5305441670059999,False
549,3,40,incongruent,0.532373064008,False
552,3,41,incongruent,0.550550204018,False
555,3,42,incongruent,0.705857525012,False
558,3,43,congruent,0.42508451800700003,False
561,3,44,congruent,0.36346532900600004,False
564,3,45,congruent,0.371903010004,False
567,3,46,congruent,0.347122542997,False
570,3,47,incongruent,0.36651752,False
573,3,48,congruent,0.431945521006,True
576,4,1,congruent,0.482172643009,False
579,4,2,congruent,0.36837084100999995,False
582,4,3,incongruent,0.475659568008,False
585,4,4,incongruent,0.513623438994,False
588,4,5,incongruent,0.458438423011,False
591,4,6,congruent,0.324517522007,False
594,4,7,incongruent,0.382059484007,False
597,4,8,congruent,0.30465266099800004,False
600,4,9,incongruent,0.523379156017,False
603,4,10,congruent,0.536887676004,False
606,4,11,congruent,0.41664540801100003,False
609,4,12,incongruent,0.582245367012,False
612,4,13,incongruent,0.511357897005,False
615,4,14,congruent,0.36956042400600003,False
618,4,15,incongruent,0.46977589400200004,False
621,4,16,incongruent,0.509632150017,False
624,4,17,incongruent,0.412717778003,False
627,4,18,congruent,0.48548694400200004,False
630,4,19,incongruent,0.439514989004,False
633,4,20,congruent,0.504358482998,False
636,4,21,incongruent,0.441363912003,False
639,4,22,incongruent,0.472365670998,False
642,4,23,congruent,0.445103004997,False
645,4,24,congruent,0.38052437201300005,False
648,4,25,congruent,0.349495995019,False
651,4,26,congruent,0.394714562004,False
654,4,27,congruent,0.36873209600199996,False
657,4,28,incongruent,0.364872858001,False
660,4,29,incongruent,0.42878425100900003,False
663,4,30,incongruent,0.37649477101499995,False
666,4,31,incongruent,0.41321172801,False
669,4,32,incongruent,0.498966511004,False
672,4,33,congruent,0.405818075,False
675,4,34,congruent,0.45371409400799995,False
678,4,35,incongruent,0.493513213005,False
681,4,36,congruent,0.323440873006,False
684,4,37,congruent,0.422545413996,False
687,4,38,incongruent,0.438724174004,False
690,4,39,incongruent,0.5004011120040001,False
693,4,40,congruent,0.591718414013,False
696,4,41,congruent,0.40579226901199994,False
699,4,42,incongruent,0.5080845210180001,False
702,4,43,incongruent,0.474385669993,False
705,4,44,congruent,0.46957000599699994,False
708,4,45,congruent,0.5284164870100001,False
711,4,46,congruent,0.390586388006,False
714,4,47,congruent,0.468386729,False
717,4,48,incongruent,0.446659620007,False
720,5,1,congruent,0.586051259001,False
723,5,2,incongruent,0.568063706,False
726,5,3,incongruent,0.521937804006,False
729,5,4,congruent,0.39872183400399996,False
732,5,5,congruent,0.430549713012,False
735,5,6,congruent,0.359800047998,False
738,5,7,congruent,0.488126616008,False
741,5,8,congruent,0.41192423801100003,False
744,5,9,incongruent,0.7487537130069999,False
747,5,10,incongruent,0.46747831800899997,False
750,5,11,congruent,0.492169145,False
