,block,trialNum,flankers,rt,error
0,practice,1,incongruent,,
3,practice,2,congruent,0.8157860810169999,False
6,practice,3,congruent,0.6619141470000001,False
9,practice,4,incongruent,0.625221225026,False
12,practice,5,incongruent,0.277292100014,True
15,practice,6,incongruent,0.7795924700040001,False
18,practice,7,incongruent,0.596851909999,False
21,practice,8,incongruent,0.582543091004,False
24,practice,9,congruent,0.390533794009,False
27,practice,10,congruent,0.38171498401799997,False
30,practice,11,congruent,0.29518347300500003,False
33,practice,12,congruent,0.341719342017,False
36,practice,13,congruent,0.24423096800500002,False
39,practice,14,incongruent,0.292107170011,True
42,practice,15,incongruent,0.41484060403300005,False
45,practice,16,incongruent,0.334845826001,True
48,practice,17,incongruent,0.35540017401199997,False
51,practice,18,incongruent,0.274138361012,False
54,practice,19,congruent,0.24732604701400002,True
57,practice,20,incongruent,0.307708111999,False
60,practice,21,congruent,0.293402033014,True
63,practice,22,incongruent,0.379065321031,False
66,practice,23,congruent,0.319315675995,False
69,practice,24,congruent,0.28197702602499997,False
72,practice,25,incongruent,0.275429540023,False
75,practice,26,congruent,0.293334642018,False
78,practice,27,congruent,0.293711965001,False
81,practice,28,congruent,0.248512043006,False
84,practice,29,congruent,0.24741015301,False
87,practice,30,congruent,0.24990429801999997,False
90,practice,31,congruent,0.27496082801399996,False
93,practice,32,incongruent,0.27395786601100003,False
96,practice,33,incongruent,0.256330520002,False
99,practice,34,incongruent,0.266112465994,False
102,practice,35,congruent,0.276015134004,False
105,practice,36,incongruent,0.251065214019,True
108,practice,37,incongruent,0.271244974021,False
111,practice,38,congruent,0.266197015997,True
114,practice,39,congruent,0.275435574033,False
117,practice,40,congruent,0.313983663014,False
120,practice,41,incongruent,0.301564085996,True
123,practice,42,incongruent,0.30598646300500004,True
126,practice,43,congruent,0.357714421029,False
129,practice,44,congruent,0.283301170013,False
132,practice,45,incongruent,0.25862249202300003,True
135,practice,46,incongruent,0.345078475017,False
138,practice,47,incongruent,0.268960955,False
141,practice,48,congruent,0.292964105989,False
144,1,1,congruent,0.353112740995,False
147,1,2,congruent,0.289481512009,True
150,1,3,incongruent,0.288795258006,False
153,1,4,congruent,0.287419173022,False
156,1,5,congruent,0.256959232007,False
159,1,6,congruent,0.37878560300999997,False
162,1,7,congruent,0.31176122903700004,False
165,1,8,incongruent,0.35974336502800003,False
168,1,9,incongruent,0.296701973013,False
171,1,10,incongruent,0.321837968018,True
174,1,11,incongruent,0.350014863012,False
177,1,12,congruent,0.295269426017,False
180,1,13,incongruent,0.301946841006,True
183,1,14,incongruent,0.420117189002,False
186,1,15,congruent,0.29856764199200003,False
189,1,16,congruent,0.29210967101999996,False
192,1,17,congruent,0.303204985015,False
195,1,18,incongruent,0.29266835202,True
198,1,19,congruent,0.307458525029,False
201,1,20,congruent,0.302080904017,False
204,1,21,incongruent,0.299912119022,True
207,1,22,incongruent,0.304008506006,False
210,1,23,congruent,0.311345888011,False
213,1,24,congruent,0.249639801012,False
216,1,25,incongruent,0.379594469006,False
219,1,26,congruent,0.292155818024,False
222,1,27,congruent,0.31435786501999996,False
225,1,28,congruent,0.276051442022,False
228,1,29,incongruent,0.312031651003,True
231,1,30,congruent,0.26630551399999997,True
234,1,31,congruent,0.312315780029,False
237,1,32,congruent,0.33887542801700005,False
240,1,33,incongruent,0.334584928001,False
243,1,34,incongruent,0.311872291029,False
246,1,35,incongruent,0.309049069008,False
249,1,36,congruent,0.307323702,False
252,1,37,incongruent,0.302709586016,True
255,1,38,incongruent,0.288622322027,False
258,1,39,congruent,0.31268493901,False
261,1,40,incongruent,0.277057291009,False
264,1,41,incongruent,0.34130867299999995,False
267,1,42,incongruent,0.265004754998,False
270,1,43,congruent,0.32042434203299996,False
273,1,44,incongruent,0.30627856700399997,False
276,1,45,incongruent,0.267986250023,False
279,1,46,incongruent,0.271374569013,False
282,1,47,congruent,0.30536844601700003,False
285,1,48,incongruent,0.262937407999,True
288,2,1,incongruent,0.38782380401999994,True
291,2,2,incongruent,0.323718356027,True
294,2,3,incongruent,0.29433906200599996,False
297,2,4,congruent,0.33598379799500006,False
300,2,5,congruent,0.313343161019,True
303,2,6,congruent,0.30815209800500004,False
306,2,7,congruent,0.327001529018,False
309,2,8,incongruent,0.512805319013,False
312,2,9,congruent,0.288821147027,False
315,2,10,incongruent,0.429880111013,False
318,2,11,congruent,0.274708946032,False
321,2,12,congruent,0.321596616006,False
324,2,13,congruent,0.373026284011,False
327,2,14,incongruent,0.282965198014,False
330,2,15,congruent,0.284562267014,False
333,2,16,incongruent,0.276985526027,True
336,2,17,congruent,0.356991379027,False
339,2,18,congruent,0.281252427027,False
342,2,19,congruent,0.310552811017,False
345,2,20,congruent,0.347214651003,False
348,2,21,incongruent,0.25384413803100003,True
351,2,22,incongruent,0.26569334501999997,False
354,2,23,congruent,0.30301987499099997,False
357,2,24,congruent,0.30108873700399996,True
360,2,25,incongruent,0.394548227021,False
363,2,26,congruent,0.275590500009,False
366,2,27,incongruent,0.303344056039,False
369,2,28,congruent,0.302708481991,False
372,2,29,incongruent,0.249251717003,True
375,2,30,incongruent,0.318598695012,True
378,2,31,congruent,0.31436812199499997,True
381,2,32,congruent,0.312841904029,False
384,2,33,incongruent,0.402656699036,False
387,2,34,congruent,0.31652806801100003,False
390,2,35,incongruent,0.35410093102799994,False
393,2,36,incongruent,0.278151637031,True
396,2,37,incongruent,0.252959868027,True
399,2,38,congruent,0.37675969,False
402,2,39,incongruent,0.408416045015,False
405,2,40,incongruent,0.38859336401199995,False
408,2,41,incongruent,0.439568585018,False
411,2,42,incongruent,0.444305790006,False
414,2,43,congruent,0.47582523801200005,False
417,2,44,incongruent,0.529377307015,False
420,2,45,incongruent,0.40096961401299996,False
423,2,46,congruent,0.498276024999,True
426,2,47,incongruent,0.42307933201700004,False
429,2,48,congruent,0.37808392001900004,False
432,3,1,congruent,0.475349674991,False
435,3,2,congruent,0.283350023004,False
438,3,3,congruent,0.30881003302099996,True
441,3,4,incongruent,0.300078939996,False
444,3,5,incongruent,0.301196829038,False
447,3,6,incongruent,0.405704500008,False
450,3,7,incongruent,0.323965254007,False
453,3,8,incongruent,0.27726165001499997,True
456,3,9,congruent,0.338236409007,True
459,3,10,incongruent,0.36915164900700004,False
462,3,11,congruent,0.288520010014,False
465,3,12,incongruent,0.38821904701800003,True
468,3,13,incongruent,0.312779873988,True
471,3,14,incongruent,0.313699690014,True
474,3,15,congruent,0.337176975008,False
477,3,16,incongruent,0.603850218002,False
480,3,17,incongruent,0.409821114008,False
483,3,18,congruent,0.35661750900899997,False
486,3,19,congruent,0.282745355013,False
489,3,20,congruent,0.427882499003,True
492,3,21,congruent,0.34256433101800005,False
495,3,22,congruent,0.38707225301200004,False
498,3,23,congruent,0.344002083002,False
501,3,24,congruent,0.26896028901700003,False
504,3,25,congruent,0.256082114007,False
507,3,26,incongruent,0.299830161006,True
510,3,27,congruent,0.37580495703199995,False
513,3,28,congruent,0.382331374014,False
516,3,29,incongruent,0.40836387002499996,False
519,3,30,incongruent,0.403985102021,True
522,3,31,congruent,0.316766525997,False
525,3,32,congruent,0.286846139003,False
528,3,33,congruent,0.40039743602399996,False
531,3,34,incongruent,0.474347912997,True
534,3,35,incongruent,0.556309403008,False
537,3,36,incongruent,0.46090989103,False
540,3,37,incongruent,0.474413467018,False
543,3,38,congruent,0.35120614001100003,False
546,3,39,incongruent,0.40488398703699996,False
549,3,40,incongruent,0.43499433202699994,False
552,3,41,incongruent,0.403676857008,False
555,3,42,incongruent,0.500435532012,False
558,3,43,congruent,0.356483878015,False
561,3,44,congruent,0.437412947009,False
564,3,45,congruent,0.472382840031,False
567,3,46,incongruent,0.379495852016,False
570,3,47,congruent,0.297855840996,False
573,3,48,incongruent,0.403580946993,False
576,4,1,congruent,,
579,4,2,congruent,0.520803919993,False
582,4,3,incongruent,0.430606665002,False
585,4,4,congruent,0.38453178003,False
588,4,5,congruent,0.330563435011,False
591,4,6,incongruent,0.49464936601000004,False
594,4,7,congruent,0.35311108699500005,False
597,4,8,incongruent,0.420233895013,False
600,4,9,incongruent,0.319972940022,False
603,4,10,congruent,0.37843849600199997,False
606,4,11,incongruent,0.44524189701800004,True
609,4,12,incongruent,0.41134326602300003,False
